CCTV1,rtp://239.3.1.129:8008
CCTV2,rtp://239.3.1.60:8084
CCTV3,rtp://239.3.1.172:8001
CCTV4,rtp://239.3.1.105:8092
CCTV5,rtp://239.3.1.173:8001
CCTV5+,rtp://239.3.1.130:8004
CCTV6,rtp://239.3.1.174:8001
CCTV7,rtp://239.3.1.61:8104
CCTV8,rtp://239.3.1.175:8001
CCTV9,rtp://239.3.1.62:8112
CCTV10,rtp://239.3.1.63:8116
CCTV11,rtp://239.3.1.152:8120
CCTV12,rtp://239.3.1.64:8124
CCTV13,rtp://239.3.1.124:8128
CCTV14,rtp://239.3.1.65:8132
CCTV15,rtp://239.3.1.153:8136
CCTV16,rtp://239.3.1.183:8001
CCTV16,rtp://239.3.1.184:8001
CCTV17,rtp://239.3.1.151:8144
BRTV影视,rtp://239.3.1.158:8000
爱上4K,rtp://239.3.1.236:2000
CCTV4K超清,rtp://239.3.1.249:8001
茶频道,rtp://239.3.1.165:8001
热播剧场,rtp://239.3.1.194:9020
淘电影,rtp://239.3.1.250:8001
每日影院,rtp://239.3.1.111:8001
星影,rtp://239.3.1.94:4120
动作影院,rtp://239.3.1.92:4120
光影,rtp://239.3.1.84:4120
喜剧影院,rtp://239.3.1.91:4120
家庭影院,rtp://239.3.1.93:4120
经典电影,rtp://239.3.1.195:9024
淘剧场,rtp://239.3.1.95:8001
幸福剧场,rtp://239.3.1.112:8001
淘娱乐,rtp://239.3.1.100:8001
幸福娱乐,rtp://239.3.1.113:8001
湖南卫视,rtp://239.3.1.132:8012
东方卫视,rtp://239.3.1.136:8032
浙江卫视,rtp://239.3.1.137:8036
江苏卫视,rtp://239.3.1.135:8028
深圳卫视,rtp://239.3.1.134:8020
广东卫视,rtp://239.3.1.142:8048
安徽卫视,rtp://239.3.1.211:8064
天津卫视,rtp://239.3.1.141:1234
重庆卫视,rtp://239.3.1.122:8160
山东卫视,rtp://239.3.1.209:8052
黑龙江卫视,rtp://239.3.1.133:8016
河北卫视,rtp://239.3.1.148:8072
辽宁卫视,rtp://239.3.1.210:8056
湖北卫视,rtp://239.3.1.138:8044
吉林卫视,rtp://239.3.1.240:8172
贵州卫视,rtp://239.3.1.149:8076
东南卫视,rtp://239.3.1.156:8148
江西卫视,rtp://239.3.1.123:8164
海南卫视,rtp://239.3.1.45:8304
云南卫视,rtp://239.3.1.26:8108
厦门卫视,rtp://239.3.1.143:4120
四川卫视,rtp://239.3.1.29:8288
南方卫视,rtp://239.3.1.161:8001
山西卫视,rtp://239.3.1.42:8172
广西卫视,rtp://239.3.1.39:8300
河南卫视,rtp://239.3.1.27:8128
陕西卫视,rtp://239.3.1.41:8140
睛彩广场舞,rtp://239.3.1.128:8001
