CCTV1,rtp://239.93.0.184:5140?$SC
CCTV2,rtp://239.93.1.23:6000?$SC
CCTV3,rtp://239.93.1.11:2223?$SC
CCTV4,rtp://239.93.1.105:5140?$SC
CCTV5,rtp://239.93.42.37:5140?$SC
CCTV5+,rtp://239.93.1.36:8004?$SC
CCTV6,rtp://239.93.1.13:2226?$SC
CCTV7,rtp://239.93.1.67:5140?$SC
CCTV8,rtp://239.93.42.39:5140?$SC
CCTV9,rtp://239.93.1.24:5140?$SC
CCTV10,rtp://239.93.1.28:5140?$SC
CCTV11,rtp://239.93.0.102:5140?$SC
CCTV12,rtp://239.93.1.30:8124?$SC
CCTV13,rtp://239.93.0.66:5140?$SC
CCTV14,rtp://239.93.1.29:6000?$SC
CCTV15,rtp://239.93.0.103:5140?$SC
CCTV17,rtp://239.93.0.92:5140?$SC
CCTV-4K,rtp://239.93.42.42:5140??$SC
爱上4K专区,rtp://239.93.0.97:5140??$SC
四川卫视,rtp://239.93.0.169:5140?$SC
四川卫视,rtp://239.93.0.20:1235?$SC
康巴卫视,rtp://239.93.0.41:5140?$SC
湖南卫视,rtp://239.93.0.88:5140?$SC
江苏卫视,rtp://239.93.0.89:5140?$SC
浙江卫视,rtp://239.93.0.124:5140?$SC
东方卫视,rtp://239.93.0.123:5140?$SC
北京卫视,rtp://239.93.0.180:5140?$SC
深圳卫视,rtp://239.93.0.182:5140?$SC
广东卫视,rtp://239.93.0.181:5140?$SC
天津卫视,rtp://239.93.0.167:5140?$SC
江西卫视,rtp://239.93.0.134:5140?$SC
东南卫视,rtp://239.93.0.42:5140?$SC
黑龙江卫视,rtp://239.93.0.183:5140?$SC
重庆卫视,rtp://239.93.1.107:5140?$SC
贵州卫视,rtp://239.93.0.131:5140?$SC
湖北卫视,rtp://239.93.0.250:5140?$SC
安徽卫视,rtp://239.93.1.106:5140?$SC
河北卫视,rtp://239.93.0.132:5140?$SC
辽宁卫视,rtp://239.93.1.108:5140?$SC
云南卫视,rtp://239.93.1.174:5140?$SC
河南卫视,rtp://239.93.42.45:5140?$SC
广西卫视,rtp://239.93.42.46:5140?$SC
山东卫视,rtp://239.93.0.168:5140?$SC
吉林卫视,rtp://239.93.0.248:5140?$SC
甘肃卫视,rtp://239.93.0.81:5140?$SC
凤凰卫视,rtp://239.93.0.162:2192?$SC
凤凰卫视,rtp://239.93.1.9:2192?$SC
凤凰卫视资讯,rtp://239.93.0.118:2191?$SC
凤凰卫视资讯,rtp://239.93.1.4:2191?$SC
星空卫视,rtp://239.93.0.156:2193?$SC
星空卫视,rtp://239.93.1.10:2193?$SC
四川卫视,rtp://239.93.0.20:1235??$SC
湖南卫视,rtp://239.93.0.88:5140??$SC
江苏卫视,rtp://239.93.0.89:5140??$SC
浙江卫视,rtp://239.93.0.124:5140??$SC
东方卫视,rtp://239.93.0.123:5140??$SC
深圳卫视,rtp://239.93.0.182:5140??$SC
广东卫视,rtp://239.93.0.181:5140??$SC
天津卫视,rtp://239.93.0.167:5140??$SC
山东卫视,rtp://239.93.0.168:5140??$SC
康巴卫视,rtp://239.93.0.41:5140??$SC
江西卫视,rtp://239.93.0.134:5140??$SC
东南卫视,rtp://239.93.0.42:5140??$SC
黑龙江卫视,rtp://239.93.0.183:5140??$SC
重庆卫视,rtp://239.93.1.107:5140??$SC
贵州卫视,rtp://239.93.0.131:5140??$SC
湖北卫视,rtp://239.93.0.250:5140??$SC
河北卫视,rtp://239.93.0.132:5140??$SC
辽宁卫视,rtp://239.93.1.108:5140??$SC
河南卫视,rtp://239.93.42.45:5140??$SC
云南卫视,rtp://239.93.1.174:5140??$SC
吉林卫视,rtp://239.93.0.248:5140??$SC
甘肃卫视,rtp://239.93.0.81:5140??$SC
峨眉电影,rtp://239.93.0.252:5140??$SC
AA中国交通,rtp://239.93.0.142:5140??$SC
华语影院,rtp://239.93.42.86:5140??$SC
AA星光院线,rtp://239.93.42.87:5140??$SC
AA全球大片,rtp://239.93.42.90:5140??$SC
热门剧场,rtp://239.93.42.88:5140??$SC
谍战剧场,rtp://239.93.42.91:5140??$SC
爱怀旧,rtp://239.93.42.21:5140??$SC
爱科幻,rtp://239.93.42.10:5140??$SC
爱院线,rtp://239.93.42.11:5140??$SC
爱经典,rtp://239.93.42.13:5140??$SC
爱悬疑,rtp://239.93.42.12:5140??$SC
爱青春,rtp://239.93.42.16:5140??$SC
少儿天地,rtp://239.93.42.34:5140??$SC
爱幼教,rtp://239.93.42.17:5140??$SC
爱动漫,rtp://239.93.42.23:5140??$SC
绚影4K,rtp://239.93.42.33:5140??$SC
中录动漫4K,rtp://239.93.1.188:5140??$SC
4K乐享超清,rtp://239.93.0.43:5140??$SC
AA法治天地,rtp://239.93.42.96:5140??$SC
AA女性时尚,rtp://239.93.42.62:5140??$SC
AA世界地理,rtp://239.93.1.157:5140??$SC
AA央视文化精品,rtp://239.93.42.47:5140??$SC
AA高尔夫网球,rtp://239.93.1.54:5140??$SC
AA魅力足球,rtp://239.93.42.97:5140??$SC
AA风云足球,rtp://239.93.0.235:5140??$SC
AA兵器科技,rtp://239.93.1.235:5140??$SC
AA动漫秀场,rtp://239.93.42.93:5140??$SC
AA早期教育,rtp://239.93.0.117:5140??$SC
怀旧剧场,rtp://239.93.1.198:5140??$SC
风云剧场,rtp://239.93.1.156:5140??$SC
CHC家庭影院,rtp://239.93.42.6:5140??$SC
CHC电影,rtp://239.93.42.5:5140??$SC
CHC动作电影,rtp://239.93.42.7:5140??$SC
欢笑剧场4K,rtp://239.93.0.145:5140??$SC
百事通4K测试[5.1环绕声],rtp://239.93.42.75:5140??$SC
